2024-10-15 22:47:31.504 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-10-15 22:47:31.517 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-10-15 22:57:59.145 [main] INFO  c.grainacademy.backend.eduservice.EduApplication - Starting EduApplication using Java 19.0.1 with PID 38324 (B:\Side Project\Grain-Academy\backend\services\service_edu\target\classes started by Zejia Cai in B:\Side Project\Grain-Academy\backend)
2024-10-15 22:57:59.146 [main] INFO  c.grainacademy.backend.eduservice.EduApplication - The following 1 profile is active: "dev"
2024-10-15 22:58:00.125 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8001 (http)
2024-10-15 22:58:00.147 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2024-10-15 22:58:00.151 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-10-15 22:58:00.152 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-10-15 22:58:00.201 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-10-15 22:58:00.201 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1013 ms
2024-10-15 22:58:01.326 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2024-10-15 22:58:01.342 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8001 (http) with context path ''
2024-10-15 22:58:01.349 [main] INFO  c.grainacademy.backend.eduservice.EduApplication - Started EduApplication in 2.574 seconds (process running for 2.929)
